min_verified_components,tpr,far,frr,helper_only_tpr,helper_only_far,helper_only_frr
1,0.99,0.795,0.010000000000000009,0.0,0.0,1.0
2,0.96,0.5575,0.040000000000000036,0.0,0.0,1.0
3,0.91,0.3675,0.08999999999999997,0.0,0.0,1.0
4,0.8525,0.26,0.14749999999999996,0.0,0.0,1.0
5,0.775,0.1675,0.22499999999999998,0.0,0.0,1.0
6,0.69,0.09,0.31000000000000005,0.0,0.0,1.0
8,0.505,0.02,0.495,0.0,0.0,1.0
