pair_set,n_pairs,components_per_image,match_count_mean,match_count_q50,match_count_q90,match_count_q95,match_count_max,helper_only_count_mean,helper_only_count_q50,helper_only_count_q90,helper_only_count_q95,helper_only_count_max,penalty_mean,penalty_q50,penalty_q90
positive_place,400,16,8.55,9.0,15.0,15.0,16.0,8.55,9.0,15.0,15.0,16.0,1354.4975,1316.0,1677.1
negative_place,400,16,0.505,0.0,2.0,3.0,9.0,0.505,0.0,2.0,3.0,9.0,1896.97,1922.0,2127.1
