pair_set,n_pairs,components_per_image,match_count_mean,match_count_q50,match_count_q90,match_count_q95,match_count_max,helper_only_count_mean,helper_only_count_q50,helper_only_count_q90,helper_only_count_q95,helper_only_count_max,penalty_mean,penalty_q50,penalty_q90
positive_place,400,16,2.9475,2.0,7.0,9.0,14.0,nan,nan,nan,nan,nan,nan,nan,nan
negative_place,400,16,0.1225,0.0,0.0,1.0,5.0,nan,nan,nan,nan,nan,nan,nan,nan
