min_verified_components,tpr,far,frr,helper_only_tpr,helper_only_far,helper_only_frr
1,0.685,0.085,0.31499999999999995,0.0,0.0,1.0
2,0.5575,0.025,0.4425,0.0,0.0,1.0
3,0.47,0.0075,0.53,0.0,0.0,1.0
4,0.38,0.0025,0.62,0.0,0.0,1.0
5,0.285,0.0025,0.7150000000000001,0.0,0.0,1.0
6,0.2225,0.0,0.7775,0.0,0.0,1.0
8,0.0925,0.0,0.9075,0.0,0.0,1.0
