min_verified_components,tpr,far,frr,helper_only_tpr,helper_only_far,helper_only_frr
1,0.25,0.025,0.75,0.0,0.0,1.0
2,0.125,0.0075,0.875,0.0,0.0,1.0
3,0.06,0.0025,0.94,0.0,0.0,1.0
4,0.0325,0.0,0.9675,0.0,0.0,1.0
5,0.015,0.0,0.985,0.0,0.0,1.0
6,0.01,0.0,0.99,0.0,0.0,1.0
8,0.01,0.0,0.99,0.0,0.0,1.0
