min_verified_components,tpr,far,frr,helper_only_tpr,helper_only_far,helper_only_frr
1,0.2,0.0025,0.8,nan,nan,nan
2,0.0,0.0,1.0,nan,nan,nan
3,0.0,0.0,1.0,nan,nan,nan
4,0.0,0.0,1.0,nan,nan,nan
5,0.0,0.0,1.0,nan,nan,nan
6,0.0,0.0,1.0,nan,nan,nan
8,0.0,0.0,1.0,nan,nan,nan
