min_verified_components,tpr,far,frr,helper_only_tpr,helper_only_far,helper_only_frr
1,0.945,0.2425,0.05500000000000005,0.945,0.2425,0.05500000000000005
2,0.9025,0.11,0.09750000000000003,0.9025,0.11,0.09750000000000003
3,0.865,0.0625,0.135,0.865,0.0625,0.135
4,0.8175,0.04,0.1825,0.8175,0.04,0.1825
5,0.7775,0.0225,0.22250000000000003,0.7775,0.0225,0.22250000000000003
6,0.7125,0.0125,0.2875,0.7125,0.0125,0.2875
8,0.59,0.005,0.41000000000000003,0.59,0.005,0.41000000000000003
